Name,Position,Birthday
S. Paul Crooks,Commissioner
Barry Dallara,Commissioner
Josh Lang,"Commissioner, Chair"
William Higgins,District Attorney
Rusty Styer,Coroner
Charwin Reichelderfer,Sheriff
Melissa Cottle,Treasurer
Mary Rowzer,Auditor
Karen Williams,Auditor
Regan Young,Auditor
Faith Zebower,"Register Of Wills/Recorder Of Deeds"
Cathy Fetter,"Prothonotary - Court Clerk"
