Name,Position,Birthday
Val Arkoosh,Montgomery County Commissioner
Kenneth Lawrence,Montgomery County Commissioner
Ann Weiss,Montgomery County Clerk of Courts
Karen Sanchez,Montgomery County Controller
Michael Milbourne,Montgomery County Coroner
Kevin Steele,Montgomery County District Attorney
Mark Levy,Montgomery County Prothonotary,
Jeanne Sorg,Montgomery County Recorder of Deeds,
Bruce Hanes,Montgomery County Register of Wills,
Sean Kilkenny,Montgomery County Sheriff,
Jason Salus,Montgomery County Treasurer,
