Name,Position,Birthday
Norma Bird,Montour County Treasurer,
Trevor Finn,Montour County Commissioner,
Susan Kauwell,Montour County Prothonotary and Clerk of Coutys,
Linda Weaver,Montour County Register of Wills and Recorder of Deeds,
Ray Gerringer,Montour County Sheriff,
Jamie Becker,Montour County Auditor
