Name,Position,Birthday
Mark Powell,Lackawanna County District Attorney,
Evie McNulty,Lackawanna County Recorder of Deeds,
Fran Kovaleski,Lackawanna County Register of Wills,
Mark McAndrew,Lackawanna County Sheriff,
Jerry Notarianni,Lackawanna County Commissioner,
Patrick O'Malley,Lackawanna County Commissioner,
Gary DiBileo,Lackawanna County Controller
Edward Karpovich,Lackawanna County Treasurer
Mauri Kelly,Lackawanna County Clerk of Judicial Records
Tim Rowland,Lackawanna County Coroner
