Name,Position,Birthday
Kevin Boozel,Commissioner
Kimberly Geyer,Commissioner
Leslie Osche,Commissioner
Michael English,Solicitor
Richard Goldinger,District Attorney
William Young,Coroner
Michael Slupe,Sheriff
Diane Marburger,County Treasurer
Benjamin Holland,Controller
John McMillin Jr.,County Controller
Sarah Edwards,"Register of Wills/Clerk of Orphans’ Court"
Michelle Mustello,Recorder Of Deeds
Lisa Lotz,Clerk Of Courts
Glenna Walters,Prothonotary
